semana,escenario,n,z_exposure,z_previous_incidents,alertas,estado
2026-09-21,normal,6,-0.06601489869664105,1.1040512623593433,,OK
2026-09-28,normal,8,-0.3198526637097457,-0.803708891832482,,OK
2026-10-05,normal,14,-0.6064490798637304,-0.19902395680453772,,OK
2026-10-12,normal,14,0.07742417324544314,-0.19902395680453772,,OK
2026-10-19,normal,14,0.2273235265548583,-0.19902395680453772,,OK
2026-10-26,normal,6,1.9847779375562533,1.3440624063505053,,OK
2026-11-02,normal,14,0.8985349814280853,2.0007145131403505,,OK
2026-11-09,normal,14,-0.3793536018254857,0.7437211017432718,,OK
2026-11-16,normal,14,0.5327043162669559,-0.04189978037990247,,OK
2026-11-23,normal,10,0.07468670579411173,-0.2478824436218558,,OK
2026-11-30,normal,12,1.1175085439573371,0.7127967314012635,,OK
2026-12-07,normal,14,0.23576472537882265,-0.5132723096538072,,OK
2026-12-14,normal,13,0.5437338848421019,0.8098421367142927,,OK
2026-12-21,normal,7,0.9026096802597959,1.859133082012727,,OK
2026-11-30,incidente,12,-7.801912998575131,0.7127967314012635,deriva en exposure,CONTENER
2026-12-07,incidente,14,-8.524157428373359,-0.5132723096538072,deriva en exposure,CONTENER
2026-12-14,incidente,13,-8.18242909848259,0.8098421367142927,deriva en exposure,CONTENER
2026-12-21,incidente,7,-5.9538996370865,1.859133082012727,deriva en exposure,CONTENER
