n,prueba,comprueba,por_que
1,test_particiones_sin_solapamiento_y_con_cobertura,"Entrenamiento, validación y prueba no comparten filas, cubren todo el conjunto, tienen las dos clases y se repiten igual.",Base de toda la evaluación: sin esto habría fuga o resultados no reproducibles.
2,test_escalador_no_usa_datos_de_evaluacion,El escalador aprende la media solo de entrenamiento y no cambia al predecir datos nuevos.,Evita fuga de información de validación o prueba hacia el modelo.
3,test_esquema_target_y_duplicados,"Las 34 columnas son las esperadas, el target no está entre los predictores y no quedan duplicados.",Contrato de datos antes de entrenar.
4,test_pipeline_admite_faltantes_sin_reajustar,El pipeline predice aunque aparezca un valor faltante.,Robustez ante datos incompletos en uso real.
5,test_descarga_rechaza_archivo_alterado,Un archivo con SHA256 distinto al documentado se rechaza.,Garantiza que siempre se usan los mismos datos de UCI.
6,test_duplicado_eliminado_antes_de_partir,Hay 351 registros originales y 350 después de quitar el único duplicado.,Un duplicado podría quedar a la vez en entrenamiento y en prueba.
7,test_codificacion_del_target_respeta_las_clases_originales,Las cantidades de b=0 y g=1 coinciden con las etiquetas originales.,Un error al codificar invertiría el significado de todas las métricas.
8,test_tamanos_y_estratificacion_de_la_particion,La partición es 210/70/70 y cada parte mantiene la proporción de clases.,Comparar particiones solo tiene sentido si están equilibradas.
9,test_pipeline_tiene_pasos_y_parametros_esperados,El pipeline tiene imputar → escalar → SVM y respeta kernel y C.,La búsqueda de hiperparámetros depende de estos nombres.
10,test_columna_constante_no_produce_valores_invalidos,La columna constante no genera valores infinitos o NaN al escalar.,La auditoría detectó una columna constante y se decidió conservarla.
11,test_entrenamiento_es_reproducible,Dos entrenamientos con la misma semilla dan exactamente las mismas puntuaciones.,Reproducibilidad exigida por el mandato.
12,test_metricas_acotadas_y_perfectas_con_prediccion_perfecta,"Las seis métricas existen, están entre 0 y 1 y valen 1 con predicción perfecta.",Comprueba la función de métricas que alimenta la tabla del PDF.
13,test_particiones_guardadas_coinciden_con_el_codigo,El archivo particiones.csv coincide con la partición que produce el código.,La evidencia guardada es la que realmente se usó.
14,test_parametros_elegidos_son_el_mejor_rango_de_la_validacion_cruzada,Los parámetros guardados son los de rango 1 en la búsqueda con validación cruzada.,Demuestra que la elección no se hizo mirando la prueba.
15,test_svm_supera_al_baseline_en_prueba,El F1 macro del SVM en prueba supera al del baseline por más de 0.4.,Responde la pregunta del ejercicio con la evidencia guardada.
