id_student,fuente,final_result,y_test,y_pred,modelo
590886,OULAD,Pass,2,2,regresion_logistica
2646795,OULAD,Withdrawn,0,0,regresion_logistica
621899,OULAD,Withdrawn,0,1,regresion_logistica
694416,OULAD,Withdrawn,0,1,regresion_logistica
633865,OULAD,Fail,1,2,regresion_logistica
603498,OULAD,Fail,1,0,regresion_logistica
615090,OULAD,Pass,2,0,regresion_logistica
684111,OULAD,Pass,2,2,regresion_logistica
545045,OULAD,Fail,1,0,regresion_logistica
2464118,OULAD,Pass,2,0,regresion_logistica
393526,OULAD,Withdrawn,0,0,regresion_logistica
512411,OULAD,Distinction,3,2,regresion_logistica
2114529,OULAD,Withdrawn,0,1,regresion_logistica
9001663,Experimento X sintético,Distinction,3,2,regresion_logistica
614424,OULAD,Distinction,3,2,regresion_logistica
633472,OULAD,Pass,2,2,regresion_logistica
506618,OULAD,Withdrawn,0,0,regresion_logistica
536963,OULAD,Pass,2,2,regresion_logistica
618968,OULAD,Withdrawn,0,0,regresion_logistica
341235,OULAD,Withdrawn,0,0,regresion_logistica
551058,OULAD,Pass,2,2,regresion_logistica
579027,OULAD,Fail,1,2,regresion_logistica
633749,OULAD,Fail,1,1,regresion_logistica
572156,OULAD,Pass,2,2,regresion_logistica
552192,OULAD,Withdrawn,0,0,regresion_logistica
561773,OULAD,Withdrawn,0,0,regresion_logistica
591655,OULAD,Fail,1,0,regresion_logistica
610423,OULAD,Fail,1,2,regresion_logistica
606205,OULAD,Withdrawn,0,0,regresion_logistica
626416,OULAD,Distinction,3,2,regresion_logistica
576413,OULAD,Distinction,3,2,regresion_logistica
407428,OULAD,Fail,1,2,regresion_logistica
2432655,OULAD,Pass,2,2,regresion_logistica
111360,OULAD,Fail,1,1,regresion_logistica
586398,OULAD,Withdrawn,0,0,regresion_logistica
690711,OULAD,Distinction,3,2,regresion_logistica
555791,OULAD,Fail,1,0,regresion_logistica
605703,OULAD,Pass,2,2,regresion_logistica
275232,OULAD,Pass,2,2,regresion_logistica
426547,OULAD,Pass,2,2,regresion_logistica
624327,OULAD,Fail,1,2,regresion_logistica
402695,OULAD,Pass,2,1,regresion_logistica
647518,OULAD,Withdrawn,0,2,regresion_logistica
551791,OULAD,Pass,2,2,regresion_logistica
574819,OULAD,Fail,1,2,regresion_logistica
610731,OULAD,Fail,1,0,regresion_logistica
505108,OULAD,Pass,2,2,regresion_logistica
529201,OULAD,Pass,2,0,regresion_logistica
599323,OULAD,Fail,1,2,regresion_logistica
71676,OULAD,Pass,2,2,regresion_logistica
475460,OULAD,Fail,1,2,regresion_logistica
681356,OULAD,Pass,2,0,regresion_logistica
476041,OULAD,Pass,2,2,regresion_logistica
9001225,Experimento X sintético,Pass,2,2,regresion_logistica
622215,OULAD,Pass,2,0,regresion_logistica
596305,OULAD,Distinction,3,2,regresion_logistica
1411627,OULAD,Pass,2,2,regresion_logistica
494896,OULAD,Withdrawn,0,2,regresion_logistica
697299,OULAD,Withdrawn,0,2,regresion_logistica
2343809,OULAD,Withdrawn,0,0,regresion_logistica
483149,OULAD,Pass,2,2,regresion_logistica
678313,OULAD,Fail,1,2,regresion_logistica
567676,OULAD,Fail,1,0,regresion_logistica
687683,OULAD,Pass,2,2,regresion_logistica
588059,OULAD,Withdrawn,0,0,regresion_logistica
323805,OULAD,Withdrawn,0,0,regresion_logistica
2410519,OULAD,Distinction,3,2,regresion_logistica
603873,OULAD,Withdrawn,0,0,regresion_logistica
623001,OULAD,Withdrawn,0,2,regresion_logistica
613832,OULAD,Fail,1,0,regresion_logistica
648369,OULAD,Pass,2,2,regresion_logistica
128142,OULAD,Fail,1,2,regresion_logistica
482710,OULAD,Pass,2,2,regresion_logistica
344396,OULAD,Fail,1,0,regresion_logistica
588835,OULAD,Pass,2,2,regresion_logistica
9001795,Experimento X sintético,Fail,1,2,regresion_logistica
609396,OULAD,Withdrawn,0,2,regresion_logistica
689626,OULAD,Fail,1,0,regresion_logistica
675127,OULAD,Withdrawn,0,0,regresion_logistica
534201,OULAD,Pass,2,0,regresion_logistica
2131908,OULAD,Distinction,3,0,regresion_logistica
413709,OULAD,Pass,2,2,regresion_logistica
546250,OULAD,Pass,2,0,regresion_logistica
467100,OULAD,Fail,1,2,regresion_logistica
652501,OULAD,Pass,2,0,regresion_logistica
599542,OULAD,Fail,1,0,regresion_logistica
627500,OULAD,Withdrawn,0,2,regresion_logistica
626047,OULAD,Withdrawn,0,0,regresion_logistica
363738,OULAD,Withdrawn,0,2,regresion_logistica
681854,OULAD,Withdrawn,0,2,regresion_logistica
516318,OULAD,Fail,1,0,regresion_logistica
558444,OULAD,Fail,1,0,regresion_logistica
601645,OULAD,Fail,1,1,regresion_logistica
275792,OULAD,Pass,2,2,regresion_logistica
40508,OULAD,Withdrawn,0,0,regresion_logistica
495509,OULAD,Pass,2,0,regresion_logistica
571926,OULAD,Pass,2,2,regresion_logistica
682524,OULAD,Withdrawn,0,0,regresion_logistica
2197766,OULAD,Distinction,3,0,regresion_logistica
652112,OULAD,Fail,1,2,regresion_logistica
492403,OULAD,Pass,2,2,regresion_logistica
360986,OULAD,Pass,2,2,regresion_logistica
539128,OULAD,Withdrawn,0,0,regresion_logistica
92166,OULAD,Withdrawn,0,1,regresion_logistica
443539,OULAD,Pass,2,2,regresion_logistica
601757,OULAD,Distinction,3,3,regresion_logistica
533535,OULAD,Pass,2,2,regresion_logistica
566603,OULAD,Withdrawn,0,2,regresion_logistica
255449,OULAD,Withdrawn,0,2,regresion_logistica
536409,OULAD,Withdrawn,0,0,regresion_logistica
571074,OULAD,Distinction,3,2,regresion_logistica
356371,OULAD,Pass,2,2,regresion_logistica
540727,OULAD,Pass,2,2,regresion_logistica
616914,OULAD,Pass,2,2,regresion_logistica
574319,OULAD,Withdrawn,0,0,regresion_logistica
9000865,Experimento X sintético,Fail,1,2,regresion_logistica
617942,OULAD,Withdrawn,0,2,regresion_logistica
2647043,OULAD,Fail,1,2,regresion_logistica
9002431,Experimento X sintético,Pass,2,1,regresion_logistica
649667,OULAD,Pass,2,2,regresion_logistica
53632,OULAD,Withdrawn,0,2,regresion_logistica
529767,OULAD,Withdrawn,0,0,regresion_logistica
563967,OULAD,Withdrawn,0,0,regresion_logistica
513701,OULAD,Pass,2,1,regresion_logistica
540549,OULAD,Pass,2,2,regresion_logistica
515247,OULAD,Withdrawn,0,2,regresion_logistica
9000154,Experimento X sintético,Pass,2,2,regresion_logistica
633979,OULAD,Distinction,3,2,regresion_logistica
512722,OULAD,Pass,2,2,regresion_logistica
625288,OULAD,Withdrawn,0,0,regresion_logistica
621906,OULAD,Fail,1,2,regresion_logistica
568288,OULAD,Distinction,3,2,regresion_logistica
2629511,OULAD,Withdrawn,0,0,regresion_logistica
1659662,OULAD,Pass,2,2,regresion_logistica
497405,OULAD,Withdrawn,0,0,regresion_logistica
546954,OULAD,Withdrawn,0,0,regresion_logistica
585041,OULAD,Pass,2,2,regresion_logistica
600681,OULAD,Withdrawn,0,0,regresion_logistica
555498,OULAD,Pass,2,2,regresion_logistica
