id_student,fuente,final_result,y_test,y_pred,modelo
628386,OULAD,Pass,70.42857142857143,71.17160702129307,ridge
9000465,Experimento X sintético,Distinction,66.94314654762523,64.97690478495001,ridge
2178929,OULAD,Distinction,90.0,68.82566903136674,ridge
426768,OULAD,Withdrawn,70.5,79.87292552038592,ridge
683305,OULAD,Pass,78.08333333333333,81.0432465064921,ridge
2248789,OULAD,Fail,83.14285714285714,84.28801842004877,ridge
612449,OULAD,Withdrawn,22.0,73.16229922310312,ridge
318794,OULAD,Pass,71.0,59.72216968990846,ridge
635703,OULAD,Pass,86.0,79.44264981335883,ridge
521509,OULAD,Pass,70.83333333333333,68.28213913094314,ridge
465577,OULAD,Withdrawn,37.5,65.25819178401332,ridge
333832,OULAD,Fail,69.54545454545455,78.63420083980047,ridge
585768,OULAD,Pass,77.85714285714286,71.53154019499168,ridge
535462,OULAD,Fail,76.0,69.32493479493588,ridge
548521,OULAD,Pass,77.83333333333333,80.51648362783854,ridge
584408,OULAD,Fail,70.5,70.28317433644835,ridge
556931,OULAD,Fail,69.08333333333333,80.22032294651885,ridge
520349,OULAD,Withdrawn,41.666666666666664,65.3669073874248,ridge
576455,OULAD,Fail,72.5,74.84713947014198,ridge
603832,OULAD,Withdrawn,27.25,71.47940821473556,ridge
644362,OULAD,Pass,61.6,78.29059380124349,ridge
516529,OULAD,Distinction,90.36363636363636,76.60767146179873,ridge
391613,OULAD,Distinction,88.83333333333333,68.98523052846603,ridge
386956,OULAD,Withdrawn,67.0,68.18786815942204,ridge
325566,OULAD,Fail,42.42857142857143,63.04720361796351,ridge
500283,OULAD,Pass,50.857142857142854,66.52293371170732,ridge
640098,OULAD,Pass,79.5,77.69030616682821,ridge
509536,OULAD,Pass,82.08333333333333,84.67764293962344,ridge
487646,OULAD,Fail,65.0909090909091,72.09135260040694,ridge
529287,OULAD,Withdrawn,63.0,72.5135870037813,ridge
307290,OULAD,Fail,71.45454545454545,63.32275609227671,ridge
580592,OULAD,Withdrawn,70.85714285714286,70.5141624091218,ridge
552025,OULAD,Fail,85.8,64.26326615581338,ridge
268733,OULAD,Withdrawn,43.0,59.51983191993727,ridge
625775,OULAD,Fail,71.42857142857143,74.7408859332828,ridge
590749,OULAD,Withdrawn,71.33333333333333,69.66514418561054,ridge
443007,OULAD,Pass,85.08333333333333,79.03341884055155,ridge
2460002,OULAD,Fail,83.0,73.02545298992494,ridge
385033,OULAD,Pass,90.5,80.32541403069119,ridge
555765,OULAD,Fail,66.14285714285714,65.16893277864428,ridge
689346,OULAD,Withdrawn,46.666666666666664,60.807121688957714,ridge
624046,OULAD,Pass,71.11111111111111,74.10625156087536,ridge
552822,OULAD,Pass,83.5,74.76375796017513,ridge
9000965,Experimento X sintético,Pass,73.36532091622689,58.592849939139086,ridge
2303413,OULAD,Pass,86.0909090909091,78.36479384629823,ridge
9001699,Experimento X sintético,Pass,76.85267375654868,54.955117507029314,ridge
651121,OULAD,Pass,74.25,78.44623992392131,ridge
9000946,Experimento X sintético,Fail,63.885647476755516,57.62797588291848,ridge
